"","stockid","MSYbest","areaid","stocklong","region"
"248","JPUFFIMKB",133.7354381,"Japan-FAJ-IMKB","Japanese pufferfish Ise and Mikawa Bay","Russia Japan"
"249","JPUFFSOJECSSI",257.5122692,"Japan-FAJ-SOJECSSI","Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea","Russia Japan"
"250","KCROCKNPAC",743.568,"Japan-FAJ-NPAC","Kichiji rockfish North Pacific","Russia Japan"
"251","KELPGREENLINGORECOAST",130,"USA-NMFS-ORECOAST","Kelp greenling Oregon Coast","US West Coast"
"252","KINGKLIPSA",5855,"South Africa-DETMCM-SA","Kingklip South Africa","South Africa"
"253","KMACKGM",NA,"USA-NMFS-GM","King mackerel Gulf of Mexico","US Southeast and Gulf"
"254","KMACKSATLC",NA,"USA-NMFS-SATLC","King mackerel Southern Atlantic Coast","US Southeast and Gulf"
"255","KMFLOUNBSAI",NA,"USA-NMFS-BSAI","Kamchatka flounder Bering Sea and Aleutian Islands","US Alaska"
"256","LINGCODNPCOAST",1734,"USA-NMFS-NPCOAST","Lingcod Northern Pacific Coast","US West Coast"
"257","LINGCODSOG",763,"Canada-DFO-SOG","Lingcod Strait of Georgia","Canada West Coast"
"258","LINGCODSPCOAST",1678,"USA-NMFS-SPCOAST","Lingcod Southern Pacific Coast","US West Coast"
"259","LINGVa",NA,"multinational-ICES-Va","Ling Iceland Grounds","European Union"
"260","LISQUIDATLC",NA,"USA-NMFS-ATLC","Longfin inshore squid Atlantic Coast","US Southeast and Gulf"
"261","LNOSESKAPCOAST",1268,"USA-NMFS-PCOAST","Longnose skate Pacific Coast","US West Coast"
"262","LOBSTERGB",NA,"USA-NMFS-5Z","American lobster Georges Bank","US East Coast"
"263","LOBSTERGOM",NA,"USA-NMFS-5Y","American lobster Gulf of Maine","US East Coast"
"264","LOBSTERSNE",NA,"USA-NMFS-SNE","American lobster Southern New England","US East Coast"
"265","LSTHORNHPCOAST",2529,"USA-NMFS-PCOAST","Longspine thornyhead Pacific Coast","US West Coast"
"266","MACKNEICES",NA,"multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","Mackerel ICES Northeast Atlantic","European Union"
"267","MEG8c9a",NA,"multinational-ICES-VIIIc-IXa","Megrim ICES VIIIc-IXa","European Union"
"268","MEGVII-VIIIabd",NA,"multinational-ICES-VII-VIIIabd","Megrim VII-VIIIabd","European Union"
"269","MENATGM",NA,"USA-NMFS-GM","Gulf menhaden Gulf of Mexico","US Southeast and Gulf"
"270","MENATLAN",NA,"USA-NMFS-ATL","Atlantic menhaden Atlantic","US East Coast"
"271","MHMACKMEDGSA29",NA,"multinational-GFCM-GSA29","Mediterranean horse mackerel Black Sea","Mediterranean-Black Sea"
"272","MONKGOMNGB",9383,"USA-NMFS-GOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","US East Coast"
"273","MONKSGBMATL",14328,"USA-NMFS-SGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","US East Coast"
"274","MORWONGESE",468.41264,"Australia-AFMA-ESE","Jackass morwong Eastern half of Southeast Australia","Australia"
"275","MORWONGWSE",185.2761677,"Australia-AFMA-WSE","Jackass morwong Western half of Southeast Australia","Australia"
"276","MULLQNSW",NA,"Australia-DPIF-QNSW","Sea Mullet Queensland and New South Wales","Australia"
"277","MUTSNAPSATLCGM",413.9,"USA-NMFS-SATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","US Southeast and Gulf"
"278","NEPHFU11",NA,"multinational-ICES-FU11","Norway lobster North Minch (FU 11)","European Union"
"279","NEPHFU12",NA,"multinational-ICES-FU12","Norway lobster South Minch (FU 12)","European Union"
"280","NEPHFU13",NA,"multinational-ICES-FU13","Norway lobster Firth of Clyde and Sound of Jura (FU 13)","European Union"
"281","NEPHFU14",NA,"multinational-ICES-FU14","Norway lobster Irish Sea East (FU 14)","European Union"
"282","NEPHFU15",NA,"multinational-ICES-FU15","Norway lobster Irish Sea West (FU 15)","European Union"
"283","NEPHFU16",NA,"multinational-ICES-FU16","Norway lobster Porcupine Bank (FU 16)","European Union"
"284","NEPHFU17",NA,"multinational-ICES-FU17","Norway lobster Aran Grounds (FU 17)","European Union"
"285","NEPHFU19",NA,"multinational-ICES-FU19","Norway lobster South East and West of IRL (FU 19)","European Union"
"286","NEPHFU2021",NA,"multinational-ICES-FU2021","Norway lobster Labadie, Jones and Cockburn (FU 20-21)","European Union"
"287","NEPHFU22",NA,"multinational-ICES-FU22","Norway lobster Smalls (FU 22)","European Union"
"288","NEPHFU2829",NA,"multinational-ICES-FU2829","Norway lobster South-West and South Portugal (FU 28-29)","European Union"
"289","NEPHFU3-4",NA,"multinational-ICES-FU3-4","Norway lobster Skagerak Kattegat (FU 3-4)","European Union"
"290","NEPHFU6",NA,"multinational-ICES-FU6","Norway lobster Farn Deeps (FU 6)","European Union"
"291","NEPHFU7",NA,"multinational-ICES-FU7","Norway lobster Fladen Ground (FU 7)","European Union"
"292","NEPHFU8",NA,"multinational-ICES-FU8","Norway lobster Firth of Forth (FU 8)","European Union"
"293","NEPHFU9",NA,"multinational-ICES-FU9","Norway lobster Moray Firth (FU 9)","European Union"
"294","NEPHMEDGSA1",NA,"multinational-GFCM-GSA1","Norway lobster Northern Alboran Sea","Mediterranean-Black Sea"
"295","NEPHMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Norway lobster Malta Island and South of Sicily","Mediterranean-Black Sea"
"296","NEPHMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","Norway lobster Adriatic Sea","Mediterranean-Black Sea"
"297","NEPHMEDGSA5",NA,"multinational-GFCM-GSA5","Norway Lobster Balearic Island","Mediterranean-Black Sea"
"298","NEPHMEDGSA6",NA,"multinational-GFCM-GSA6","Norway lobster Northern Spain","Mediterranean-Black Sea"
"299","NEPHMEDGSA9",NA,"multinational-GFCM-GSA9","Norway lobster Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"300","NEPHVIIIab",NA,"multinational-ICES-VIIIab","Norway lobster VIIIab","European Union"
"301","NPOUTIIIa-IV",NA,"multinational-ICES-IIIa-IV","Norway pout IIIa and North Sea","European Union"
"302","NROCKBSAI",NA,"USA-NMFS-BSAI","Northern rockfish Bering Sea and Aleutian Islands","US Alaska"
"303","NROCKGA",6070,"USA-NMFS-GA","Northern rockfish Gulf of Alaska","US Alaska"
"304","NRSOLEEBSAI",259310,"USA-NMFS-EBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","US Alaska"
"305","NRSOLEGA",NA,"USA-NMFS-GA","Northern rock sole Gulf of Alaska","US Alaska"
"306","NSHRIMPCSCH",NA,"Chile-SUBPESCA-CH-CS","Nylon shrimp Central-Southern Chile","South America"
"307","NSHRIMPNCH",NA,"Chile-SUBPESCA-CH-N","Nylon shrimp Northern Chile","South America"
"308","NZLINGESE",NA,"Australia-AFMA-SE","New Zealand ling Eastern half of Southeast Australia","Australia"
"309","NZLINGLIN3-4",6424,"New Zealand-MFish-LIN3-4","New Zealand ling New Zealand Areas LIN 3 and 4","New Zealand"
"310","NZLINGLIN5-6",23827,"New Zealand-MFish-LIN5-6","New Zealand ling New Zealand Areas LIN 5 and 6","New Zealand"
"311","NZLINGLIN6b",893.8449,"New Zealand-MFish-LIN6b","New Zealand ling New Zealand Area LIN 6b","New Zealand"
"312","NZLINGLIN72",544.244,"New Zealand-MFish-LIN72","New Zealand ling New Zealand Area LIN 72","New Zealand"
"313","NZLINGLIN7WC",5150,"New Zealand-MFish-LIN7WC-WCSI","New Zealand ling New Zealand Area LIN 7WC - WCSI","New Zealand"
"314","NZLINGWSE",NA,"Australia-AFMA-WSE","New Zealand ling Western half of Southeast Australia","Australia"
"315","NZSNAPNZ1BOP-HAGU",NA,"New Zealand-MFish-SNA1-BOP-HAGU","New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf","New Zealand"
"316","NZSNAPNZ1ENLD",NA,"New Zealand-MFish-SNA-1-ENLD","New Zealand snapper New Zealand SNA 1 east Northland","New Zealand"
"317","NZSNAPNZ7",699,"New Zealand-MFish-SNA-7","New Zealand snapper New Zealand SNA 7","New Zealand"
"318","NZSNAPNZ8",2284.7076,"New Zealand-MFish-8","New Zealand snapper New Zealand Area 8","New Zealand"
"319","OFLOUNECS",1181.763806,"Japan-FAJ-ECS","Japanese flounder East China Sea","Russia Japan"
"320","OFLOUNNSJ",1556.224123,"Japan-FAJ-NSJ","Japanese flounder Sea of Japan North","Russia Japan"
"321","OFLOUNPAC",2156.174,"Japan-FAJ-PAC","Japanese flounder Pacific Ocean","Russia Japan"
"322","OFLOUNSETO",874.6563098,"Japan-FAJ-SETO","Japanese flounder Inland Sea of Japan","Russia Japan"
"323","OPOUTNWATLC",3754,"USA-NMFS-NWATLC","Ocean pout Northwestern Atlantic Coast","US East Coast"
"324","OROUGHYCASCADE",NA,"Australia-AFMA-CASCADE","Orange roughy Cascade Plateau","Australia"
"325","OROUGHYCH",NA,"multinational-SPRFMO-CH","Orange roughy Chile","South America"
"326","OROUGHYESCR",8640,"New Zealand-MFish-ESCR","Orange roughy East and South Chatham Rise","New Zealand"
"327","OROUGHYNWCR",1386,"New Zealand-MFish-NWCR","Orange roughy Northwest Chatham Rise","New Zealand"
"328","OROUGHYNZ7A",1848,"New Zealand-MFish-NZ7A","Orange roughy New Zealand Challenger Plateau","New Zealand"
"329","OROUGHYNZMEC",2214,"New Zealand-MFish-NZMEC","Orange roughy New Zealand Mid East Coast","New Zealand"
"330","OROUGHYSE",2191.690032,"Australia-AFMA-SE","Orange roughy Southeast Australia","Australia"
"331","PACBTUNA",17345,"multinational-ISC-PAC","Pacific bluefin tuna Pacific Ocean","Pacific Ocean"
"332","PANCHCCH",NA,"Chile-SUBPESCA-CH-C","Peruvian Anchoveta Central Chile","South America"
"333","PANCHCSCH",NA,"Chile-SUBPESCA-CH-CS","Peruvian Anchoveta Central-Southern Chile","South America"
"334","PANCHNCHSP",NA,"Chile-SUBPESCA-NCH-SP","Peruvian Anchoveta Northern Chile Southern Peru","South America"
"335","PANCHPERUNC",NA,"Peru-IMARPE-NC","Peruvian anchoveta North-Central Peru","South America"
"336","PANDALGOM",NA,"USA-NMFS-5Y","Northern shrimp Gulf of Maine","US East Coast"
"337","PANDALI-II",NA,"multinational-ICES-I-II","Northern shrimp North-East Arctic","Europe non EU"
"338","PANDALIIIaW-IVaE",NA,"multinational-ICES-IIIaW-IVaE","Northern shrimp IIIa (west) and IVa (east)","European Union"
"339","PANDALSFA4",NA,"Canada-DFO-SFA4","Northern shrimp SFA 4","Canada East Coast"
"340","PANDALSFA5",NA,"Canada-DFO-SFA5","Northern shrimp SFA 5","Canada East Coast"
"341","PANDALSFA6",NA,"Canada-DFO-SFA6","Northern shrimp SFA 6","Canada East Coast"
"342","PATGRENADIERCH",NA,"Chile-SUBPESCA-CH-CS","Patagonian grenadier Chile","South America"
"343","PATGRENADIERSARG",132131,"Argentina-CFP-ARG-S","Patagonian grenadier Southern Argentina","South America"
"344","PAUANPAU5A",73,"New Zealand-MFish-NPAU5A","Black Foot Paua NZ North PAUA5A","New Zealand"
"345","PAUAPAU5B",190,"New Zealand-MFish-PAU5B","New Zealand abalone species New Zealand Area PAU 5B","New Zealand"
"346","PAUAPAU5D",121,"New Zealand-MFish-PAU5D","New Zealand abalone species New Zealand Area PAU 5D","New Zealand"
"347","PAUAPAU7",207,"New Zealand-MFish-PAU7","New Zealand abalone species New Zealand Area PAU 7","New Zealand"
"348","PAUASPAU5A",57,"New Zealand-MFish-SPAU5A","Black Foot Paua NZ South PAUA5A","New Zealand"
"349","PCEELARGS",11700,"Argentina-CFP-ARG-S","Pink Cusk-eel Southern Argentina","South America"
"350","PCEELCSCH",NA,"Chile-SUBPESCA-CH-CS","Pink cusk-eel Central-Southern Chile","South America"
"351","PCEELSCH",NA,"Chile-SUBPESCA-CH-S","Pink cusk-eel Southern Chile","South America"
"352","PCOD5AB",763.3,"Canada-DFO-5AB","Pacific cod Queen Charlotte Sound","Canada West Coast"
"353","PCODBS",NA,"USA-NMFS-BS","Pacific cod Bering Sea","US Alaska"
"354","PCODGA",NA,"USA-NMFS-GA","Pacific cod Gulf of Alaska","US Alaska"
"355","PCODHOKK",NA,"Japan-FAJ-HOKK","Pacific cod Hokkaido","Russia Japan"
"356","PCODHS",3313.1,"Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast"
"357","PCODNPAC",188097.77,"Japan-FAJ-NPAC","Pacific cod North Pacific","Russia Japan"
"358","PCODSOJ",NA,"Japan-FAJ-SOJ","Pacific cod Sea of Japan","Russia Japan"
"359","PCODWCVANI",NA,"Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Canada West Coast"
"360","PERCHEBSAI",NA,"USA-NMFS-EBSAI","Pacific Ocean perch Eastern Bering Sea and Aleutian Islands","US Alaska"
"361","PERCHQCI",1488,"Canada-DFO-QCI","Pacific Ocean perch Haida Gwaii","Canada West Coast"
"362","PERCHWCVANI",1048,"Canada-DFO-WCVANI","Pacific Ocean perch West Coast of Vancouver Island","Canada West Coast"
"363","PHAKEPCOAST",406000,"USA-NMFS-PCOAST","Pacific hake Pacific Coast","US West Coast"
"364","PHALNPAC",NA,"multinational-IPHC-NPAC","Pacific halibut North Pacific","US Alaska"
"365","PHFLOUNNHOKK",NA,"Japan-FAJ-NHOKK","Pointhead flounder North coast of Hokkaido","Russia Japan"
"366","PHFLOUNSOJ",2961.814499,"Japan-FAJ-SOJ","Pointhead flounder Sea of Japan","Russia Japan"
"367","PICAMEDGSA25",NA,"multinational-GFCM-GSA25","Picarel Cyprus Island","Mediterranean-Black Sea"
"368","PILCHPJPN",175942.4024,"Japan-FAJ-PJPN","Japanese sardine Pacific Coast of Japan","Russia Japan"
"369","PILCHTSST",53011.80649,"Japan-FAJ-TSST","Japanese sardine Tsushima Strait","Russia Japan"
"370","PINKSHRIMPGM",NA,"USA-NMFS-GM","Pink shrimp Gulf of Mexico","US Southeast and Gulf"
"371","PLAIC2123",NA,"multinational-ICES-2123","European Plaice Subdivisions 21-23","European Union"
"372","PLAIC7d",NA,"multinational-ICES-VIId","European Plaice ICES VIId","European Union"
"373","PLAICCELT",NA,"multinational-ICES-VIIf-g","European Plaice ICES VIIf-g","European Union"
"374","PLAICECHW",NA,"multinational-ICES-VIIe","European Plaice ICES VIIe","European Union"
"375","PLAICIS",NA,"multinational-ICES-VIIa","European Plaice Irish Sea","European Union"
"376","PLAICNS",NA,"multinational-ICES-IV","European Plaice North Sea","European Union"
"377","PLAICVIIh-k",NA,"multinational-ICES-VIIh-k","European Plaice VIIh-k","European Union"
"378","POLL5YZ",19678,"USA-NMFS-5YZ","Pollock NAFO-5YZ","US East Coast"
"379","POLLFAPL",NA,"multinational-ICES-Vb1","Pollock Faroe Plateau","Europe non EU"
"380","POLLIEG",65000,"multinational-ICES-Va","Pollock Iceland Grounds","Europe non EU"
"381","POLLNEAR",NA,"multinational-ICES-I-II","Pollock Northeast Arctic","Europe non EU"
"382","POLLNS-VI-IIIa",2e+05,"multinational-ICES-IIIa-IV-VI","Pollock ICES IIIa, VI and North Sea","European Union"
"383","POPERCHGA",20243,"USA-NMFS-GA","Pacific ocean perch Gulf of Alaska","US Alaska"
"384","POPERCHPCOAST",1058,"USA-NMFS-PCOAST","Pacific ocean perch Pacific Coast","US West Coast"
"385","PORSHARATL",NA,"Canada-DFO-ATL","Porbeagle shark Atlantic Ocean","Canada East Coast"
"386","PRCODMEDGSA9",NA,"multinational-GFCM-GSA9","Poor cod Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"387","PSHRMPMEDGSA6",NA,"multinational-GFCM-GSA6","Deep-water Rose Shrimp Northern Spain","Mediterranean-Black Sea"
"388","PSOLEPCOAST",2588,"USA-NMFS-PCOAST","Petrale sole Pacific Coast","US West Coast"
"389","PTOOTHFISHCH",NA,"multinational-SUBPESCA-CFP-SCH-ARG","Patagonian Toothfish Chile","South America"
"390","PTOOTHFISHMI",184.369,"Australia-AFMA-MI","Patagonian toothfish Macquarie Island","Australia"
"391","PTOOTHFISHPEI",1514.43,"South Africa-DETMCM-PEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","South Africa"
"392","QROCKPCOASTIN",144,"Canada-DFO-PCOASTIN","Quillback rockfish Pacific Coast of Canada (Inside)","Canada West Coast"
"393","QROCKPCOASTOUT",462,"Canada-DFO-PCOASTOUT","Quillback rockfish Pacific Coast of Canada (Outside)","Canada West Coast"
"394","QUAHATLC",NA,"USA-NMFS-ATLC","Ocean quahog Atlantic Coast","US East Coast"
"395","RBRMECS",11625.59874,"Japan-FAJ-ECS","Red seabream East China Sea","Russia Japan"
"396","RBRMMEDGSA1-3",NA,"multinational-GFCM-GSA1-3","Red Seabream Alboran Sea","Mediterranean-Black Sea"
"397","RBRMSETOE",3105.528673,"Japan-FAJ-SETOE","Red seabream Inland Sea of Japan (East)","Russia Japan"
"398","RBRMSETOW",4173.130057,"Japan-FAJ-SETOW","Red seabream Inland Sea of Japan (West)","Russia Japan"
"399","RDSHRMPMEDGSA1",NA,"multinational-GFCM-GSA1","Red shrimp Northern Alboran Sea","Mediterranean-Black Sea"
"400","RDSHRMPMEDGSA10",NA,"multinational-GFCM-GSA10","Red shrimp South Tyrrhenian Sea","Mediterranean-Black Sea"
"401","RDSHRMPMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Red shrimp Malta Island and South of Sicily","Mediterranean-Black Sea"
"402","RDSHRMPMEDGSA6",NA,"multinational-GFCM-GSA6","Red Shrimp Northern Spain","Mediterranean-Black Sea"
"403","REDDEEP2J3K-3LNO",22000,"Canada-DFO-2J3K-3LNO","Deepwater redfish NAFO-2J3K-3LNO","Canada East Coast"
"404","REDDEEPDP-1-2-V-XII-XIV",NA,"multinational-ICES-DP-1-2-V-XII-XIV","Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep)","Europe non EU"
"405","REDDEEPUT12",21000,"Canada-DFO-UT12","Deepwater redfish Units 1-2","Canada East Coast"
"406","REDFEAUS",913.2456563,"Australia-AFMA-EAUS","Redfish Eastern Australia","Australia"
"407","REDFISHSPP3LN",24440,"multinational-NAFO-3LN","Redfish species NAFO 3LN","Canada East Coast"
"408","REDFISHSPP3M",NA,"multinational-NAFO-3M","Redfish species NAFO 3M","Canada East Coast"
"409","REXSOLEGA",NA,"USA-NMFS-GA","Rex sole Gulf of Alaska","US Alaska"
"410","REXSOLEPCOAST",1646,"USA-NMFS-PCOAST","Rex sole Pacific Coast","US West Coast"
"411","REYEROCKBSAI",NA,"USA-NMFS-BSAI","Rougheye rockfish Bering Sea and Aleutian Islands","US Alaska"
"412","REYEROCKGA",NA,"USA-NMFS-GA","Rougheye rockfish Gulf of Alaska","US Alaska"
"413","RGROUPGM",6529.16,"USA-NMFS-GM","Red grouper Gulf of Mexico","US Southeast and Gulf"
"414","RGROUPSATL",503.49,"USA-NMFS-SATL","Red grouper South Atlantic","US Southeast and Gulf"
"415","RHERRPAC",NA,"Japan-FAJ-PAC","Round herring Pacific Ocean","Russia Japan"
"416","RHERRTSST",43991.57093,"Japan-FAJ-TSST","Round herring Tsushima Strait","Russia Japan"
"417","RKCRABBB",23645.80209,"USA-NMFS-BB","Red king crab Bristol Bay","US Alaska"
"418","RKCRABNS",NA,"USA-NMFS-NS","Red king crab Norton Sound","US Alaska"
"419","RKCRABPI",NA,"USA-NMFS-PI","Red king crab Pribilof Islands","US Alaska"
"420","RMULLMEDGSA1",NA,"multinational-GFCM-GSA1","Red mullet Northern Alboran Sea","Mediterranean-Black Sea"
"421","RMULLMEDGSA10",NA,"multinational-GFCM-GSA10","Red mullet South Tyrrhenian Sea","Mediterranean-Black Sea"
"422","RMULLMEDGSA11",NA,"multinational-GFCM-GSA11","Red mullet Sardinia","Mediterranean-Black Sea"
"423","RMULLMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Red mullet Malta Island and South of Sicily","Mediterranean-Black Sea"
"424","RMULLMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","Red mullet Adriatic Sea","Mediterranean-Black Sea"
"425","RMULLMEDGSA19",NA,"multinational-GFCM-GSA19","Red mullet Western Ionian Sea","Mediterranean-Black Sea"
"426","RMULLMEDGSA25",NA,"multinational-GFCM-GSA25","Red mullet Cyprus Island","Mediterranean-Black Sea"
"427","RMULLMEDGSA29",NA,"multinational-GFCM-GSA29","Red mullet Black Sea","Mediterranean-Black Sea"
"428","RMULLMEDGSA5",NA,"multinational-GFCM-GSA5","Red mullet Balearic Island","Mediterranean-Black Sea"
"429","RMULLMEDGSA6",NA,"multinational-GFCM-GSA6","Red mullet Northern Spain","Mediterranean-Black Sea"
"430","RMULLMEDGSA7",NA,"multinational-GFCM-GSA7","Red mullet Gulf of Lions","Mediterranean-Black Sea"
"431","RMULLMEDGSA9",NA,"multinational-GFCM-GSA9","Red mullet Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"432","RPORGYSATLC",378.2960366,"USA-NMFS-SATLC","Red porgy Southern Atlantic coast","US Southeast and Gulf"
"433","RROCKLOBSTERCRA1",161.109,"New Zealand-MFish-CRA1","Red rock lobster New Zealand area CRA1","New Zealand"
"434","RROCKLOBSTERCRA2",265.7825,"New Zealand-MFish-CRA2","Red rock lobster New Zealand area CRA2","New Zealand"
"435","RROCKLOBSTERCRA3",212.492,"New Zealand-MFish-CRA3","Red rock lobster New Zealand area CRA3","New Zealand"
"436","RROCKLOBSTERCRA4",679.969,"New Zealand-MFish-CRA4","Red rock lobster New Zealand area CRA4","New Zealand"
"437","RROCKLOBSTERCRA5",560.0995,"New Zealand-MFish-CRA5","Red rock lobster New Zealand area CRA5","New Zealand"
"438","RROCKLOBSTERCRA7",193.628,"New Zealand-MFish-CRA7","Red rock lobster New Zealand area CRA7","New Zealand"
"439","RROCKLOBSTERCRA8",1082.505,"New Zealand-MFish-CRA8","Red rock lobster New Zealand area CRA8","New Zealand"
"440","RROCKLOBSTERSAUSNZ",NA,"Australia-SARDI-SAUSNZ","Rock Lobster South Australia Northern Zone","Australia"
"441","RROCKLOBSTERSAUSSZ",NA,"Australia-SARDI-SAUSSZ","Rock Lobster South Australia Southern Zone","Australia"
"442","RSARDINWA",NA,"multinational-FAO-WA","Round Sardinella West Africa","West Africa"
"443","RSFLOUNSOJ",1568.679061,"Japan-FAJ-SOJ","Round-nose flounder Sea of Japan","Russia Japan"
"444","RSHRMPMEDGSA1",NA,"multinational-GFCM-GSA1","Deep-water rose shrimp Northern Alboran Sea","Mediterranean-Black Sea"
"445","RSHRMPMEDGSA12-16",NA,"multinational-GFCM-GSA12-16","Deep-water Rose Shrimp GSA 12-16","Mediterranean-Black Sea"
"446","RSHRMPMEDGSA17-19",NA,"multinational-GFCM-GSA17-19","Deep-water rose shrimp Geographical Sub-Areas 17-19","Mediterranean-Black Sea"
"447","RSHRMPMEDGSA5",NA,"multinational-GFCM-GSA5","Deep-water rose shrimp Balearic Island","Mediterranean-Black Sea"
"448","RSNAPGM",5855.877884,"USA-NMFS-GM","Red snapper Gulf of Mexico","US Southeast and Gulf"
"449","RSNAPSATLC",195.044732,"USA-NMFS-SATLC","Red snapper Southern Atlantic coast","US Southeast and Gulf"
"450","RSOLE5AB",524,"Canada-DFO-5AB","Rock sole Queen Charlotte Sound","Canada West Coast"
"451","RSOLEGA",NA,"USA-NMFS-GA","Rock sole Gulf of Alaska","US Alaska"
"452","RSOLEHSTR",1895,"Canada-DFO-HS","Rock sole Hecate Strait","Canada West Coast"
"453","RSQLOBSTERCSCH",NA,"Chile-SUBPESCA-CH-CS","Red squat lobster Central-Southern Chile","South America"
"454","RSQLOBSTERNCH",NA,"Chile-SUBPESCA-CH-N","Red squat lobster Northern Chile","South America"
"455","SAABALONESA",NA,"South Africa-DETMCM-SA","Abalone South Africa","South Africa"
"456","SABLEFEBSAIGA",18950,"USA-NMFS-EBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","US Alaska"
"457","SABLEFPCAN",3230,"Canada-DFO-PCOAST","Sablefish Pacific Coast of Canada","Canada West Coast"
"458","SABLEFPCOAST",7476,"USA-NMFS-PCOAST","Sablefish Pacific Coast","US West Coast"
"459","SAILEATL",851,"multinational-ICCAT-EATL","Sailfish Eastern Atlantic","Atlantic Ocean"
"460","SAILWATL",850,"multinational-ICCAT-WATL","Sailfish Western Atlantic","Atlantic Ocean"
"461","SARDINWA",NA,"multinational-FAO-WA","Sardinella West Africa","West Africa"
"462","SARDMEDGSA16",5307,"multinational-GFCM-GSA16","Sardine South of Sicily","Mediterranean-Black Sea"
"463","SARDMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","European pilchard Adriatic Sea","Mediterranean-Black Sea"
"464","SARDMEDGSA6",NA,"multinational-GFCM-GSA6","European pilchard Northern Spain","Mediterranean-Black Sea"
"465","SARDPCOAST",NA,"USA-NMFS-PCOAST","Pacific sardine Pacific Coast","US West Coast"
"466","SARDPVIIIc-IXa",NA,"multinational-ICES-VIIIc-IXa","European pilchard ICES VIIIc-IXa","European Union"
"467","SARDSA",NA,"South Africa-DETMCM-SA","Sardine South Africa","South Africa"
"468","SARDVIIIabd",NA,"multinational-ICES-VIIIabd","Sardine ICES VIIIabd","European Union"
"469","SARDWAZC",NA,"multinational-FAO-Z-C","Sardine West Africa Zone C","West Africa"
"470","SAURNWPAC",474259.1,"Japan-FAJ-NWPAC","Pacific saury Northwest Pacific","Russia Japan"
"471","SBARSHARATL",403,"USA-NMFS-ATL","Sandbar shark Atlantic","US Southeast and Gulf"
"472","SBELLYROCKPCOAST",NA,"USA-NMFS-PCOAST","Shortbelly rockfish Pacific Coast","US West Coast"
"473","SBT",33000,"multinational-CCSBT-SO","Southern bluefin tuna Southern Oceans","Indian Ocean"
"474","SBWHITACIR",NA,"New Zealand-MFish-CIR","Southern blue whiting Campbell Island Rise","New Zealand"
"475","SBWHITARGS",NA,"Argentina-CFP-ARG-S","Southern blue whiting Southern Argentina","South America"
"476","SBWHITCH",NA,"Chile-SUBPESCA-CH-CS","Southern blue whiting Chile","South America"
"477","SCALL5ZMAB",23798,"USA-NMFS-5ZMAB","Sea scallop Georges Bank and Mid-Atlantic Bight","US East Coast"
"478","SCALLGB",NA,"Canada-DFO-5Z","Sea scallop Georges Bank","Canada East Coast"
"479","SCHHEADATL",NA,"USA-NMFS-ATL","Scalloped hammerhead Atlantic","US East Coast"
"480","SCMPBP",342.4918,"New Zealand-MFish-BOP","Scampi Bay of Plenty","New Zealand"
"481","SCMPMB",NA,"New Zealand-MFish-MB","Scampi Mernoo Bank","New Zealand"
"482","SCMPWHB",194,"New Zealand-MFish-WHB","Scampi Wairapa/Hawke Bay","New Zealand"
"483","SCUPNWATLC",11752,"USA-NMFS-NWATLC","Scup Atlantic Coast","US East Coast"
"484","SDOG4VWX5",741.67,"Canada-DFO-4VWX5","Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank","Canada East Coast"
"485","SDOGATLC",NA,"USA-NMFS-ATLC","Spiny dogfish Atlantic Coast","US East Coast"
"486","SDOGBLKGSA29",NA,"multinational-GFCM-GSA29","Spiny Dogfish Black Sea","Mediterranean-Black Sea"
"487","SEELNSSA1",NA,"multinational-ICES-SA1","Sand eel SA 1","European Union"
"488","SEELNSSA2",NA,"multinational-ICES-SA2","Sand eel SA 2","European Union"
"489","SEELNSSA3",NA,"multinational-ICES-SA3","Sand eel SA 3","European Union"
"490","SEELNSSA4",NA,"multinational-ICES-SA4","Sand eel Sandeel Area 4","European Union"
"491","SFLOUNMATLC",12945,"USA-NMFS-MATLC","Summer flounder Mid-Atlantic Coast","US East Coast"
